Donner,MP3_Path
Chanter,audio/Utau.mp3
Se réveiller,audio/Okiru.mp3
Nager,audio/Oyagu.mp3
S'asseoir,audio/Suwaru.mp3
Manger,audio/Taberu.mp3
Parler,audio/Hanasu.mp3
Se marier,audio/Kekkonsuru.mp3
Se promener,audio/Senposuru.mp3
Faire le ménage,audio/Soujisuru.mp3
Boire,audio/Nomimasu.mp3
S’appliquer,audio/Tsutomeru.mp3
Aligner,audio/Narageru.mp3
Travailler,audio/Hataraku.mp3
Sortir,audio/Kaishutsusuru.mp3
Répéter,audio/Kurikaesu.mp3
Vérifier,audio/Tashikameru.mp3
Etre en retard,audio/Chikokusuru.mp3
Aller à l’école,audio/Tsuugakusuru.mp3
Se souvenir,audio/Omoidasu.mp3
Ventre,audio/Onaka.mp3
Musique,audio/Ongaku.mp3
Parfum,audio/Kaori.mp3
Avion,audio/Hikouki.mp3
Salon de thé,audio/Kissaten.mp3
Salle de classe,audio/Kyoushitsu.mp3
Petit-déjeuner,audio/Asagohan.mp3
Nouveau,audio/Atarashii.mp3
Fruit,audio/Kudamono.mp3
Chaussettes,audio/Kutsushita.mp3
Neuf,audio/Kokonotsu.mp3
Métro,audio/Chikatetsu.mp3
Poulet,audio/Toriniku.mp3
Musée,audio/Hakubutsukan.mp3
Conte,audio/Monogatari.mp3
Vacances d’hiver,audio/Fuyuyasumi.mp3
Soleil,audio/Otentosama.mp3
Moulin à vent,audio/Kazaguruma.mp3
Veuillez m’excuser,audio/Shitsureishimasu.mp3
Nuageux,audio/Kumori.mp3
Frais,audio/Suzushii.mp3
Important,audio/Taisetsu.mp3
Beaucoup,audio/Takusan.mp3
Amusant,audio/Tanoshii.mp3
Marron,audio/Chairo.mp3
Vert,audio/Midori.mp3
Clair,audio/Akarui.mp3
Charmant,audio/Airashii.mp3
Intéressant,audio/Omoshiroi.mp3
Divers,audio/Sonomoka.mp3
Ennuyeux,audio/Tsumaranai.mp3
Evident,audio/Akiraka.mp3
Assoupi,audio/Inemuri.mp3
Positif,audio/Sekyoukuteki.mp3
Fascinant,audio/Miryokuteki.mp3
Chaleureux,audio/Atatakana.mp3
Animé,audio/Nigiyakana.mp3
Tendre,audio/Yawarakaii.mp3
Envieux,audio/Urayamashii.mp3
Demain,audio/Ashita.mp3
