french_word,japanese_audio
Donner,audio/Ageru.wav
Chanter,audio/Utau.wav
Se réveiller,audio/Okiru.wav
Nager,audio/Oyagu.wav
S'asseoir,audio/Suwaru.wav
Manger,audio/Taberu.wav
Parler,audio/Hanasu.wav
Se marier,audio/Kekkonsuru.wav
Se promener,audio/Senposuru.wav
Faire le ménage,audio/Soujisuru.wav
Boire,audio/Nomimasu.wav
S’appliquer,audio/Tsutomeru.wav
Aligner,audio/Narageru.wav
Travailler,audio/Hataraku.wav
Sortir,audio/Kaishutsusuru.wav
Répéter,audio/Kurikaesu.wav
Vérifier,audio/Tashikameru.wav
Etre en retard,audio/Chikokusuru.wav
Aller à l’école,audio/Tsuugakusuru.wav
Se souvenir,audio/Omoidasu.wav
Ventre,audio/Onaka.wav
Musique,audio/Ongaku.wav
Parfum,audio/Kaori.wav
Avion,audio/Hikouki.wav
Salon de thé,audio/Kissaten.wav
Salle de classe,audio/Kyoushitsu.wav
Petit-déjeuner,audio/Asagohan.wav
Nouveau,audio/Atarashii.wav
Fruit,audio/Kudamono.wav
Chaussettes,audio/Kutsushita.wav
Neuf,audio/Kokonotsu.wav
Métro,audio/Chikatetsu.wav
Poulet,audio/Toriniku.wav
Musée,audio/Hakubutsukan.wav
Conte,audio/Monogatari.wav
Vacances d’hiver,audio/Fuyuyasumi.wav
Soleil,audio/Otentosama.wav
Moulin à vent,audio/Kazaguruma.wav
Veuillez m’excuser,audio/Shitsureishimasu.wav
Nuageux,audio/Kumori.wav
Frais,audio/Suzushii.wav
Important,audio/Taisetsu.wav
Beaucoup,audio/Takusan.wav
Amusant,audio/Tanoshii.wav
Marron,audio/Chairo.wav
Vert,audio/Midori.wav
Clair,audio/Akarui.wav
Charmant,audio/Airashii.wav
Intéressant,audio/Omoshiroi.wav
Divers,audio/Sonomoka.wav
Ennuyeux,audio/Tsumaranai.wav
Evident,audio/Akiraka.wav
Assoupi,audio/Inemuri.wav
Positif,audio/Sekyoukuteki.wav
Fascinant,audio/Miryokuteki.wav
Chaleureux,audio/Atatakana.wav
Animé,audio/Nigiyakana.wav
Tendre,audio/Yawarakaii.wav
Envieux,audio/Urayamashii.wav
Demain,audio/Ashita.wav
